c = 1, sigma = 0.1, train.rain.acc = 0.822275, train.dry.acc = 0.857827,train.acc = 0.843511, test.rain.acc = 0.812121, test.dry.acc = 0.768889, test.acc = 0.787179
c = 1, sigma = 0.001, train.rain.acc = 0.759312, train.dry.acc = 0.755365,train.acc = 0.756679, test.rain.acc = 0.773050, test.dry.acc = 0.690763, test.acc = 0.720513
c = 2, sigma = 0.001, train.rain.acc = 0.738579, train.dry.acc = 0.778287,train.acc = 0.763359, test.rain.acc = 0.761290, test.dry.acc = 0.710638, test.acc = 0.730769
c = 3, sigma = 0.001, train.rain.acc = 0.742424, train.dry.acc = 0.782209,train.acc = 0.767176, test.rain.acc = 0.770701, test.dry.acc = 0.721030, test.acc = 0.741026
c = 4, sigma = 0.001, train.rain.acc = 0.743655, train.dry.acc = 0.781346,train.acc = 0.767176, test.rain.acc = 0.766234, test.dry.acc = 0.711864, test.acc = 0.733333
c = 5, sigma = 0.001, train.rain.acc = 0.747500, train.dry.acc = 0.788580,train.acc = 0.772901, test.rain.acc = 0.766234, test.dry.acc = 0.711864, test.acc = 0.733333
c = 6, sigma = 0.001, train.rain.acc = 0.747500, train.dry.acc = 0.788580,train.acc = 0.772901, test.rain.acc = 0.766234, test.dry.acc = 0.711864, test.acc = 0.733333
c = 7, sigma = 0.001, train.rain.acc = 0.744361, train.dry.acc = 0.785824,train.acc = 0.770038, test.rain.acc = 0.779221, test.dry.acc = 0.720339, test.acc = 0.743590
c = 8, sigma = 0.001, train.rain.acc = 0.745636, train.dry.acc = 0.788253,train.acc = 0.771947, test.rain.acc = 0.779221, test.dry.acc = 0.720339, test.acc = 0.743590
c = 9, sigma = 0.001, train.rain.acc = 0.746867, train.dry.acc = 0.787365,train.acc = 0.771947, test.rain.acc = 0.779221, test.dry.acc = 0.720339, test.acc = 0.743590
c = 10, sigma = 0.001, train.rain.acc = 0.748130, train.dry.acc = 0.789799,train.acc = 0.773855, test.rain.acc = 0.775641, test.dry.acc = 0.722222, test.acc = 0.743590
c = 11, sigma = 0.001, train.rain.acc = 0.747500, train.dry.acc = 0.788580,train.acc = 0.772901, test.rain.acc = 0.775641, test.dry.acc = 0.722222, test.acc = 0.743590
c = 12, sigma = 0.001, train.rain.acc = 0.745000, train.dry.acc = 0.787037,train.acc = 0.770992, test.rain.acc = 0.775641, test.dry.acc = 0.722222, test.acc = 0.743590
c = 13, sigma = 0.001, train.rain.acc = 0.746269, train.dry.acc = 0.789474,train.acc = 0.772901, test.rain.acc = 0.779221, test.dry.acc = 0.720339, test.acc = 0.743590
c = 14, sigma = 0.001, train.rain.acc = 0.743781, train.dry.acc = 0.787926,train.acc = 0.770992, test.rain.acc = 0.779221, test.dry.acc = 0.720339, test.acc = 0.743590
c = 15, sigma = 0.001, train.rain.acc = 0.742574, train.dry.acc = 0.788820,train.acc = 0.770992, test.rain.acc = 0.775641, test.dry.acc = 0.722222, test.acc = 0.743590
c = 16, sigma = 0.001, train.rain.acc = 0.740099, train.dry.acc = 0.787267,train.acc = 0.769084, test.rain.acc = 0.770701, test.dry.acc = 0.721030, test.acc = 0.741026
c = 17, sigma = 0.001, train.rain.acc = 0.740099, train.dry.acc = 0.787267,train.acc = 0.769084, test.rain.acc = 0.769231, test.dry.acc = 0.717949, test.acc = 0.738462
c = 18, sigma = 0.001, train.rain.acc = 0.742647, train.dry.acc = 0.792188,train.acc = 0.772901, test.rain.acc = 0.770701, test.dry.acc = 0.721030, test.acc = 0.741026
c = 19, sigma = 0.001, train.rain.acc = 0.742015, train.dry.acc = 0.790952,train.acc = 0.771947, test.rain.acc = 0.769231, test.dry.acc = 0.717949, test.acc = 0.738462
c = 20, sigma = 0.001, train.rain.acc = 0.744472, train.dry.acc = 0.792512,train.acc = 0.773855, test.rain.acc = 0.770701, test.dry.acc = 0.721030, test.acc = 0.741026
c = 21, sigma = 0.001, train.rain.acc = 0.744472, train.dry.acc = 0.792512,train.acc = 0.773855, test.rain.acc = 0.770701, test.dry.acc = 0.721030, test.acc = 0.741026
c = 22, sigma = 0.001, train.rain.acc = 0.744472, train.dry.acc = 0.792512,train.acc = 0.773855, test.rain.acc = 0.772152, test.dry.acc = 0.724138, test.acc = 0.743590
c = 23, sigma = 0.001, train.rain.acc = 0.743902, train.dry.acc = 0.794671,train.acc = 0.774809, test.rain.acc = 0.767296, test.dry.acc = 0.722944, test.acc = 0.741026
