c = 34, sigma = 0.001, train.rain.acc = 0.715302, train.dry.acc = 0.801498,train.acc = 0.779113, test.rain.acc = 0.733945, test.dry.acc = 0.829932, test.acc = 0.803970
c = 35, sigma = 0.001, train.rain.acc = 0.717314, train.dry.acc = 0.803504,train.acc = 0.780961, test.rain.acc = 0.733945, test.dry.acc = 0.829932, test.acc = 0.803970
c = 36, sigma = 0.001, train.rain.acc = 0.717314, train.dry.acc = 0.803504,train.acc = 0.780961, test.rain.acc = 0.733945, test.dry.acc = 0.829932, test.acc = 0.803970
c = 37, sigma = 0.001, train.rain.acc = 0.714286, train.dry.acc = 0.805031,train.acc = 0.780961, test.rain.acc = 0.736364, test.dry.acc = 0.832765, test.acc = 0.806452
c = 38, sigma = 0.001, train.rain.acc = 0.712803, train.dry.acc = 0.805801,train.acc = 0.780961, test.rain.acc = 0.736364, test.dry.acc = 0.832765, test.acc = 0.806452
c = 39, sigma = 0.001, train.rain.acc = 0.712803, train.dry.acc = 0.805801,train.acc = 0.780961, test.rain.acc = 0.736364, test.dry.acc = 0.832765, test.acc = 0.806452
c = 40, sigma = 0.001, train.rain.acc = 0.714777, train.dry.acc = 0.807838,train.acc = 0.782810, test.rain.acc = 0.736364, test.dry.acc = 0.832765, test.acc = 0.806452
c = 41, sigma = 0.001, train.rain.acc = 0.714777, train.dry.acc = 0.807838,train.acc = 0.782810, test.rain.acc = 0.743119, test.dry.acc = 0.833333, test.acc = 0.808933
c = 42, sigma = 0.001, train.rain.acc = 0.712329, train.dry.acc = 0.807595,train.acc = 0.781885, test.rain.acc = 0.743119, test.dry.acc = 0.833333, test.acc = 0.808933
c = 43, sigma = 0.001, train.rain.acc = 0.709898, train.dry.acc = 0.807351,train.acc = 0.780961, test.rain.acc = 0.743119, test.dry.acc = 0.833333, test.acc = 0.808933
c = 44, sigma = 0.001, train.rain.acc = 0.710884, train.dry.acc = 0.808376,train.acc = 0.781885, test.rain.acc = 0.743119, test.dry.acc = 0.833333, test.acc = 0.808933
c = 45, sigma = 0.001, train.rain.acc = 0.710884, train.dry.acc = 0.808376,train.acc = 0.781885, test.rain.acc = 0.743119, test.dry.acc = 0.833333, test.acc = 0.808933
c = 46, sigma = 0.001, train.rain.acc = 0.710884, train.dry.acc = 0.808376,train.acc = 0.781885, test.rain.acc = 0.764151, test.dry.acc = 0.835017, test.acc = 0.816377
c = 47, sigma = 0.001, train.rain.acc = 0.708475, train.dry.acc = 0.808132,train.acc = 0.780961, test.rain.acc = 0.764151, test.dry.acc = 0.835017, test.acc = 0.816377
c = 48, sigma = 0.001, train.rain.acc = 0.708475, train.dry.acc = 0.808132,train.acc = 0.780961, test.rain.acc = 0.764151, test.dry.acc = 0.835017, test.acc = 0.816377
c = 49, sigma = 0.001, train.rain.acc = 0.708475, train.dry.acc = 0.808132,train.acc = 0.780961, test.rain.acc = 0.757009, test.dry.acc = 0.834459, test.acc = 0.813896
c = 50, sigma = 0.001, train.rain.acc = 0.708475, train.dry.acc = 0.808132,train.acc = 0.780961, test.rain.acc = 0.757009, test.dry.acc = 0.834459, test.acc = 0.813896
c = 51, sigma = 0.001, train.rain.acc = 0.708475, train.dry.acc = 0.808132,train.acc = 0.780961, test.rain.acc = 0.743119, test.dry.acc = 0.833333, test.acc = 0.808933
c = 52, sigma = 0.001, train.rain.acc = 0.708475, train.dry.acc = 0.808132,train.acc = 0.780961, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 53, sigma = 0.001, train.rain.acc = 0.708475, train.dry.acc = 0.808132,train.acc = 0.780961, test.rain.acc = 0.743119, test.dry.acc = 0.833333, test.acc = 0.808933
c = 54, sigma = 0.001, train.rain.acc = 0.708475, train.dry.acc = 0.808132,train.acc = 0.780961, test.rain.acc = 0.743119, test.dry.acc = 0.833333, test.acc = 0.808933
c = 55, sigma = 0.001, train.rain.acc = 0.706081, train.dry.acc = 0.807888,train.acc = 0.780037, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 56, sigma = 0.001, train.rain.acc = 0.706081, train.dry.acc = 0.807888,train.acc = 0.780037, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 57, sigma = 0.001, train.rain.acc = 0.706081, train.dry.acc = 0.807888,train.acc = 0.780037, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 58, sigma = 0.001, train.rain.acc = 0.706081, train.dry.acc = 0.807888,train.acc = 0.780037, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 59, sigma = 0.001, train.rain.acc = 0.708475, train.dry.acc = 0.808132,train.acc = 0.780961, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 60, sigma = 0.001, train.rain.acc = 0.708475, train.dry.acc = 0.808132,train.acc = 0.780961, test.rain.acc = 0.757009, test.dry.acc = 0.834459, test.acc = 0.813896
c = 61, sigma = 0.001, train.rain.acc = 0.708475, train.dry.acc = 0.808132,train.acc = 0.780961, test.rain.acc = 0.764151, test.dry.acc = 0.835017, test.acc = 0.816377
c = 62, sigma = 0.001, train.rain.acc = 0.709459, train.dry.acc = 0.809160,train.acc = 0.781885, test.rain.acc = 0.764151, test.dry.acc = 0.835017, test.acc = 0.816377
c = 63, sigma = 0.001, train.rain.acc = 0.709459, train.dry.acc = 0.809160,train.acc = 0.781885, test.rain.acc = 0.764151, test.dry.acc = 0.835017, test.acc = 0.816377
c = 64, sigma = 0.001, train.rain.acc = 0.709459, train.dry.acc = 0.809160,train.acc = 0.781885, test.rain.acc = 0.764151, test.dry.acc = 0.835017, test.acc = 0.816377
c = 65, sigma = 0.001, train.rain.acc = 0.709459, train.dry.acc = 0.809160,train.acc = 0.781885, test.rain.acc = 0.757009, test.dry.acc = 0.834459, test.acc = 0.813896
c = 66, sigma = 0.001, train.rain.acc = 0.709030, train.dry.acc = 0.810983,train.acc = 0.782810, test.rain.acc = 0.757009, test.dry.acc = 0.834459, test.acc = 0.813896
c = 67, sigma = 0.001, train.rain.acc = 0.709030, train.dry.acc = 0.810983,train.acc = 0.782810, test.rain.acc = 0.757009, test.dry.acc = 0.834459, test.acc = 0.813896
c = 68, sigma = 0.001, train.rain.acc = 0.711409, train.dry.acc = 0.811224,train.acc = 0.783734, test.rain.acc = 0.757009, test.dry.acc = 0.834459, test.acc = 0.813896
c = 69, sigma = 0.001, train.rain.acc = 0.711409, train.dry.acc = 0.811224,train.acc = 0.783734, test.rain.acc = 0.757009, test.dry.acc = 0.834459, test.acc = 0.813896
