c = 1, sigma = 0.1, train.rain.acc = 0.781906, train.dry.acc = 0.789976,train.acc = 0.785164, test.rain.acc = 0.778846, test.dry.acc = 0.769231, test.acc = 0.774194
c = 1, sigma = 0.001, train.rain.acc = 0.705414, train.dry.acc = 0.685366,train.acc = 0.697495, test.rain.acc = 0.725000, test.dry.acc = 0.694581, test.acc = 0.709677
c = 2, sigma = 0.001, train.rain.acc = 0.710702, train.dry.acc = 0.665909,train.acc = 0.691715, test.rain.acc = 0.738220, test.dry.acc = 0.688679, test.acc = 0.712159
c = 3, sigma = 0.001, train.rain.acc = 0.712121, train.dry.acc = 0.664414,train.acc = 0.691715, test.rain.acc = 0.757895, test.dry.acc = 0.704225, test.acc = 0.729529
c = 4, sigma = 0.001, train.rain.acc = 0.717428, train.dry.acc = 0.668904,train.acc = 0.696532, test.rain.acc = 0.757895, test.dry.acc = 0.704225, test.acc = 0.729529
c = 5, sigma = 0.001, train.rain.acc = 0.723906, train.dry.acc = 0.680180,train.acc = 0.705202, test.rain.acc = 0.762162, test.dry.acc = 0.697248, test.acc = 0.727047
c = 6, sigma = 0.001, train.rain.acc = 0.722222, train.dry.acc = 0.677928,train.acc = 0.703276, test.rain.acc = 0.760870, test.dry.acc = 0.694064, test.acc = 0.724566
c = 7, sigma = 0.001, train.rain.acc = 0.719799, train.dry.acc = 0.676471,train.acc = 0.701349, test.rain.acc = 0.765027, test.dry.acc = 0.695455, test.acc = 0.727047
c = 8, sigma = 0.001, train.rain.acc = 0.718593, train.dry.acc = 0.675737,train.acc = 0.700385, test.rain.acc = 0.763441, test.dry.acc = 0.700461, test.acc = 0.729529
c = 9, sigma = 0.001, train.rain.acc = 0.720268, train.dry.acc = 0.678005,train.acc = 0.702312, test.rain.acc = 0.763441, test.dry.acc = 0.700461, test.acc = 0.729529
c = 10, sigma = 0.001, train.rain.acc = 0.721477, train.dry.acc = 0.678733,train.acc = 0.703276, test.rain.acc = 0.763441, test.dry.acc = 0.700461, test.acc = 0.729529
c = 11, sigma = 0.001, train.rain.acc = 0.727731, train.dry.acc = 0.686230,train.acc = 0.710019, test.rain.acc = 0.768817, test.dry.acc = 0.705069, test.acc = 0.734491
c = 12, sigma = 0.001, train.rain.acc = 0.728499, train.dry.acc = 0.685393,train.acc = 0.710019, test.rain.acc = 0.768817, test.dry.acc = 0.705069, test.acc = 0.734491
c = 13, sigma = 0.001, train.rain.acc = 0.728499, train.dry.acc = 0.685393,train.acc = 0.710019, test.rain.acc = 0.768817, test.dry.acc = 0.705069, test.acc = 0.734491
c = 14, sigma = 0.001, train.rain.acc = 0.725753, train.dry.acc = 0.686364,train.acc = 0.709056, test.rain.acc = 0.768817, test.dry.acc = 0.705069, test.acc = 0.734491
c = 15, sigma = 0.001, train.rain.acc = 0.724080, train.dry.acc = 0.684091,train.acc = 0.707129, test.rain.acc = 0.768817, test.dry.acc = 0.705069, test.acc = 0.734491
c = 16, sigma = 0.001, train.rain.acc = 0.722871, train.dry.acc = 0.683371,train.acc = 0.706166, test.rain.acc = 0.768817, test.dry.acc = 0.705069, test.acc = 0.734491
c = 17, sigma = 0.001, train.rain.acc = 0.721667, train.dry.acc = 0.682648,train.acc = 0.705202, test.rain.acc = 0.770053, test.dry.acc = 0.708333, test.acc = 0.736973
c = 18, sigma = 0.001, train.rain.acc = 0.722130, train.dry.acc = 0.684211,train.acc = 0.706166, test.rain.acc = 0.771277, test.dry.acc = 0.711628, test.acc = 0.739454
c = 19, sigma = 0.001, train.rain.acc = 0.722130, train.dry.acc = 0.684211,train.acc = 0.706166, test.rain.acc = 0.771277, test.dry.acc = 0.711628, test.acc = 0.739454
c = 20, sigma = 0.001, train.rain.acc = 0.722871, train.dry.acc = 0.683371,train.acc = 0.706166, test.rain.acc = 0.775401, test.dry.acc = 0.712963, test.acc = 0.741935
c = 21, sigma = 0.001, train.rain.acc = 0.722871, train.dry.acc = 0.683371,train.acc = 0.706166, test.rain.acc = 0.771277, test.dry.acc = 0.711628, test.acc = 0.739454
c = 22, sigma = 0.001, train.rain.acc = 0.722591, train.dry.acc = 0.685780,train.acc = 0.707129, test.rain.acc = 0.770053, test.dry.acc = 0.708333, test.acc = 0.736973
c = 23, sigma = 0.001, train.rain.acc = 0.722130, train.dry.acc = 0.684211,train.acc = 0.706166, test.rain.acc = 0.770053, test.dry.acc = 0.708333, test.acc = 0.736973
c = 24, sigma = 0.001, train.rain.acc = 0.724541, train.dry.acc = 0.685649,train.acc = 0.708092, test.rain.acc = 0.778378, test.dry.acc = 0.711009, test.acc = 0.741935
c = 25, sigma = 0.001, train.rain.acc = 0.724541, train.dry.acc = 0.685649,train.acc = 0.708092, test.rain.acc = 0.778378, test.dry.acc = 0.711009, test.acc = 0.741935
c = 26, sigma = 0.001, train.rain.acc = 0.724080, train.dry.acc = 0.684091,train.acc = 0.707129, test.rain.acc = 0.778378, test.dry.acc = 0.711009, test.acc = 0.741935
c = 27, sigma = 0.001, train.rain.acc = 0.723618, train.dry.acc = 0.682540,train.acc = 0.706166, test.rain.acc = 0.774194, test.dry.acc = 0.709677, test.acc = 0.739454
c = 28, sigma = 0.001, train.rain.acc = 0.723618, train.dry.acc = 0.682540,train.acc = 0.706166, test.rain.acc = 0.774194, test.dry.acc = 0.709677, test.acc = 0.739454
c = 29, sigma = 0.001, train.rain.acc = 0.721477, train.dry.acc = 0.678733,train.acc = 0.703276, test.rain.acc = 0.774194, test.dry.acc = 0.709677, test.acc = 0.739454
c = 30, sigma = 0.001, train.rain.acc = 0.721008, train.dry.acc = 0.677201,train.acc = 0.702312, test.rain.acc = 0.774194, test.dry.acc = 0.709677, test.acc = 0.739454
c = 31, sigma = 0.001, train.rain.acc = 0.719799, train.dry.acc = 0.676471,train.acc = 0.701349, test.rain.acc = 0.774194, test.dry.acc = 0.709677, test.acc = 0.739454
c = 32, sigma = 0.001, train.rain.acc = 0.719799, train.dry.acc = 0.676471,train.acc = 0.701349, test.rain.acc = 0.774194, test.dry.acc = 0.709677, test.acc = 0.739454
c = 33, sigma = 0.001, train.rain.acc = 0.719799, train.dry.acc = 0.676471,train.acc = 0.701349, test.rain.acc = 0.774194, test.dry.acc = 0.709677, test.acc = 0.739454
c = 34, sigma = 0.001, train.rain.acc = 0.719799, train.dry.acc = 0.676471,train.acc = 0.701349, test.rain.acc = 0.774194, test.dry.acc = 0.709677, test.acc = 0.739454
c = 35, sigma = 0.001, train.rain.acc = 0.719799, train.dry.acc = 0.676471,train.acc = 0.701349, test.rain.acc = 0.774194, test.dry.acc = 0.709677, test.acc = 0.739454
c = 36, sigma = 0.001, train.rain.acc = 0.721008, train.dry.acc = 0.677201,train.acc = 0.702312, test.rain.acc = 0.770053, test.dry.acc = 0.708333, test.acc = 0.736973
c = 37, sigma = 0.001, train.rain.acc = 0.721008, train.dry.acc = 0.677201,train.acc = 0.702312, test.rain.acc = 0.770053, test.dry.acc = 0.708333, test.acc = 0.736973
