c = 1, sigma = 0.023, train.acc = 0.717998, test.acc = 0.720914, train.high.acc = 0.896104, train.medium.acc = 0.592050, train.low.acc = 0.724474, test.high.acc = 0.843137, test.medium.acc = 0.598837, test.low.acc = 0.726545
c = 1, sigma = 0.024, train.acc = 0.718386, test.acc = 0.720914, train.high.acc = 0.896104, train.medium.acc = 0.592668, train.low.acc = 0.725091, test.high.acc = 0.843137, test.medium.acc = 0.589888, test.low.acc = 0.727446
c = 1, sigma = 0.025, train.acc = 0.718516, test.acc = 0.720914, train.high.acc = 0.897436, train.medium.acc = 0.591633, train.low.acc = 0.725468, test.high.acc = 0.843137, test.medium.acc = 0.586592, test.low.acc = 0.727725
c = 1, sigma = 0.026, train.acc = 0.719291, test.acc = 0.721265, train.high.acc = 0.897436, train.medium.acc = 0.594912, train.low.acc = 0.726242, test.high.acc = 0.843137, test.medium.acc = 0.587912, test.low.acc = 0.728178
c = 1, sigma = 0.027, train.acc = 0.719938, test.acc = 0.721968, train.high.acc = 0.897436, train.medium.acc = 0.596929, train.low.acc = 0.726980, test.high.acc = 0.840000, test.medium.acc = 0.591398, test.low.acc = 0.729015
c = 1, sigma = 0.028, train.acc = 0.719550, test.acc = 0.722320, train.high.acc = 0.897436, train.medium.acc = 0.591337, train.low.acc = 0.727158, test.high.acc = 0.840000, test.medium.acc = 0.590426, test.low.acc = 0.729574
c = 1, sigma = 0.029, train.acc = 0.719679, test.acc = 0.721968, train.high.acc = 0.896104, train.medium.acc = 0.592453, train.low.acc = 0.727234, test.high.acc = 0.840000, test.medium.acc = 0.585106, test.low.acc = 0.729574
c = 1, sigma = 0.03, train.acc = 0.720843, test.acc = 0.721968, train.high.acc = 0.897436, train.medium.acc = 0.596330, train.low.acc = 0.728449, test.high.acc = 0.836735, test.medium.acc = 0.585492, test.low.acc = 0.729927
c = 1, sigma = 0.031, train.acc = 0.720843, test.acc = 0.721617, train.high.acc = 0.897436, train.medium.acc = 0.595978, train.low.acc = 0.728513, test.high.acc = 0.836735, test.medium.acc = 0.582474, test.low.acc = 0.729823
c = 1, sigma = 0.032, train.acc = 0.721490, test.acc = 0.720914, train.high.acc = 0.910256, train.medium.acc = 0.598911, train.low.acc = 0.728923, test.high.acc = 0.836735, test.medium.acc = 0.576531, test.low.acc = 0.729615
c = 1, sigma = 0.033, train.acc = 0.721619, test.acc = 0.720914, train.high.acc = 0.910256, train.medium.acc = 0.598553, train.low.acc = 0.729129, test.high.acc = 0.833333, test.medium.acc = 0.575758, test.low.acc = 0.729896
c = 1, sigma = 0.034, train.acc = 0.722524, test.acc = 0.720562, train.high.acc = 0.901235, train.medium.acc = 0.600701, train.low.acc = 0.730302, test.high.acc = 0.816327, test.medium.acc = 0.572864, test.low.acc = 0.730073
c = 1, sigma = 0.035, train.acc = 0.723170, test.acc = 0.721265, train.high.acc = 0.901235, train.medium.acc = 0.603448, train.low.acc = 0.730949, test.high.acc = 0.816327, test.medium.acc = 0.573529, test.low.acc = 0.731096
c = 1, sigma = 0.036, train.acc = 0.723558, test.acc = 0.721968, train.high.acc = 0.891566, train.medium.acc = 0.604096, train.low.acc = 0.731493, test.high.acc = 0.816327, test.medium.acc = 0.577670, test.low.acc = 0.731660
c = 1, sigma = 0.037, train.acc = 0.723817, test.acc = 0.722671, train.high.acc = 0.891566, train.medium.acc = 0.604730, train.low.acc = 0.731832, test.high.acc = 0.816327, test.medium.acc = 0.581731, test.low.acc = 0.732226
c = 1, sigma = 0.038, train.acc = 0.724981, test.acc = 0.723023, train.high.acc = 0.891566, train.medium.acc = 0.609195, train.low.acc = 0.733030, test.high.acc = 0.816327, test.medium.acc = 0.580189, test.low.acc = 0.732972
c = 1, sigma = 0.039, train.acc = 0.726403, test.acc = 0.723374, train.high.acc = 0.892857, train.medium.acc = 0.615016, train.low.acc = 0.734339, test.high.acc = 0.816327, test.medium.acc = 0.581395, test.low.acc = 0.733437
c = 1, sigma = 0.04, train.acc = 0.726661, test.acc = 0.723726, train.high.acc = 0.894118, train.medium.acc = 0.615506, train.low.acc = 0.734644, test.high.acc = 0.816327, test.medium.acc = 0.577982, test.low.acc = 0.734290
c = 1, sigma = 0.041, train.acc = 0.727049, test.acc = 0.724429, train.high.acc = 0.895349, train.medium.acc = 0.615265, train.low.acc = 0.735227, test.high.acc = 0.816327, test.medium.acc = 0.576577, test.low.acc = 0.735431
c = 1, sigma = 0.042, train.acc = 0.727825, test.acc = 0.724429, train.high.acc = 0.895349, train.medium.acc = 0.618462, train.low.acc = 0.735925, test.high.acc = 0.816327, test.medium.acc = 0.573333, test.low.acc = 0.735900
c = 1, sigma = 0.043, train.acc = 0.728472, test.acc = 0.724429, train.high.acc = 0.895349, train.medium.acc = 0.620795, train.low.acc = 0.736488, test.high.acc = 0.816327, test.medium.acc = 0.572687, test.low.acc = 0.736084
c = 1, sigma = 0.044, train.acc = 0.729377, test.acc = 0.725132, train.high.acc = 0.895349, train.medium.acc = 0.624242, train.low.acc = 0.737264, test.high.acc = 0.816327, test.medium.acc = 0.575758, test.low.acc = 0.736842
c = 1, sigma = 0.045, train.acc = 0.729506, test.acc = 0.725132, train.high.acc = 0.895349, train.medium.acc = 0.625190, train.low.acc = 0.737301, test.high.acc = 0.816327, test.medium.acc = 0.575107, test.low.acc = 0.737027
c = 1, sigma = 0.046, train.acc = 0.729765, test.acc = 0.725483, train.high.acc = 0.895349, train.medium.acc = 0.626707, train.low.acc = 0.737445, test.high.acc = 0.816327, test.medium.acc = 0.575630, test.low.acc = 0.737686
c = 1, sigma = 0.047, train.acc = 0.729635, test.acc = 0.725483, train.high.acc = 0.896552, train.medium.acc = 0.622024, train.low.acc = 0.737921, test.high.acc = 0.820000, test.medium.acc = 0.574380, test.low.acc = 0.737955
c = 1, sigma = 0.048, train.acc = 0.730282, test.acc = 0.725483, train.high.acc = 0.896552, train.medium.acc = 0.625185, train.low.acc = 0.738382, test.high.acc = 0.820000, test.medium.acc = 0.572016, test.low.acc = 0.738245
c = 1, sigma = 0.049, train.acc = 0.731187, test.acc = 0.726186, train.high.acc = 0.896552, train.medium.acc = 0.627168, train.low.acc = 0.739468, test.high.acc = 0.820000, test.medium.acc = 0.575510, test.low.acc = 0.738824
c = 1, sigma = 0.05, train.acc = 0.731316, test.acc = 0.726186, train.high.acc = 0.896552, train.medium.acc = 0.625000, train.low.acc = 0.740026, test.high.acc = 0.820000, test.medium.acc = 0.574899, test.low.acc = 0.739011
c = 1, sigma = 0.051, train.acc = 0.731058, test.acc = 0.726538, train.high.acc = 0.896552, train.medium.acc = 0.623229, train.low.acc = 0.739951, test.high.acc = 0.820000, test.medium.acc = 0.577236, test.low.acc = 0.739113
c = 1, sigma = 0.052, train.acc = 0.732351, test.acc = 0.727241, train.high.acc = 0.886364, train.medium.acc = 0.627972, train.low.acc = 0.741163, test.high.acc = 0.820000, test.medium.acc = 0.580000, test.low.acc = 0.739882
c = 1, sigma = 0.053, train.acc = 0.732221, test.acc = 0.727241, train.high.acc = 0.886364, train.medium.acc = 0.625520, train.low.acc = 0.741372, test.high.acc = 0.820000, test.medium.acc = 0.580000, test.low.acc = 0.739882
c = 1, sigma = 0.054, train.acc = 0.732092, test.acc = 0.727592, train.high.acc = 0.887640, train.medium.acc = 0.625000, train.low.acc = 0.741227, test.high.acc = 0.820000, test.medium.acc = 0.581673, test.low.acc = 0.740173
c = 1, sigma = 0.055, train.acc = 0.731704, test.acc = 0.728295, train.high.acc = 0.887640, train.medium.acc = 0.621884, train.low.acc = 0.741153, test.high.acc = 0.803922, test.medium.acc = 0.582677, test.low.acc = 0.741339
c = 1, sigma = 0.056, train.acc = 0.732609, test.acc = 0.728295, train.high.acc = 0.887640, train.medium.acc = 0.625860, train.low.acc = 0.741833, test.high.acc = 0.803922, test.medium.acc = 0.581395, test.low.acc = 0.741719
c = 1, sigma = 0.057, train.acc = 0.732480, test.acc = 0.727944, train.high.acc = 0.877778, train.medium.acc = 0.625344, train.low.acc = 0.741833, test.high.acc = 0.803922, test.medium.acc = 0.579151, test.low.acc = 0.741617
