c = 1, sigma = 0.1, train.rain.acc = 0.857143, train.dry.acc = 0.883607,train.acc = 0.873482, test.rain.acc = 0.787234, test.dry.acc = 0.872263, test.acc = 0.850543
c = 1, sigma = 0.001, train.rain.acc = 0.848138, train.dry.acc = 0.845070,train.acc = 0.846154, test.rain.acc = 0.804878, test.dry.acc = 0.849650, test.acc = 0.839674
c = 2, sigma = 0.001, train.rain.acc = 0.835196, train.dry.acc = 0.847619,train.acc = 0.843117, test.rain.acc = 0.781609, test.dry.acc = 0.854093, test.acc = 0.836957
c = 3, sigma = 0.001, train.rain.acc = 0.831063, train.dry.acc = 0.855072,train.acc = 0.846154, test.rain.acc = 0.780220, test.dry.acc = 0.862816, test.acc = 0.842391
c = 4, sigma = 0.001, train.rain.acc = 0.829730, train.dry.acc = 0.857605,train.acc = 0.847166, test.rain.acc = 0.782609, test.dry.acc = 0.865942, test.acc = 0.845109
c = 5, sigma = 0.001, train.rain.acc = 0.829268, train.dry.acc = 0.856220,train.acc = 0.846154, test.rain.acc = 0.776596, test.dry.acc = 0.868613, test.acc = 0.845109
c = 6, sigma = 0.001, train.rain.acc = 0.827493, train.dry.acc = 0.857374,train.acc = 0.846154, test.rain.acc = 0.762887, test.dry.acc = 0.870849, test.acc = 0.842391
c = 7, sigma = 0.001, train.rain.acc = 0.829730, train.dry.acc = 0.857605,train.acc = 0.847166, test.rain.acc = 0.770833, test.dry.acc = 0.871324, test.acc = 0.845109
c = 8, sigma = 0.001, train.rain.acc = 0.827957, train.dry.acc = 0.858766,train.acc = 0.847166, test.rain.acc = 0.765306, test.dry.acc = 0.874074, test.acc = 0.845109
c = 9, sigma = 0.001, train.rain.acc = 0.827957, train.dry.acc = 0.858766,train.acc = 0.847166, test.rain.acc = 0.767677, test.dry.acc = 0.877323, test.acc = 0.847826
c = 10, sigma = 0.001, train.rain.acc = 0.832884, train.dry.acc = 0.860616,train.acc = 0.850202, test.rain.acc = 0.773196, test.dry.acc = 0.874539, test.acc = 0.847826
c = 11, sigma = 0.001, train.rain.acc = 0.831099, train.dry.acc = 0.861789,train.acc = 0.850202, test.rain.acc = 0.767677, test.dry.acc = 0.877323, test.acc = 0.847826
c = 12, sigma = 0.001, train.rain.acc = 0.828042, train.dry.acc = 0.865574,train.acc = 0.851215, test.rain.acc = 0.745098, test.dry.acc = 0.875940, test.acc = 0.839674
c = 13, sigma = 0.001, train.rain.acc = 0.831579, train.dry.acc = 0.870066,train.acc = 0.855263, test.rain.acc = 0.737864, test.dry.acc = 0.875472, test.acc = 0.836957
c = 14, sigma = 0.001, train.rain.acc = 0.833773, train.dry.acc = 0.870279,train.acc = 0.856275, test.rain.acc = 0.737864, test.dry.acc = 0.875472, test.acc = 0.836957
c = 15, sigma = 0.001, train.rain.acc = 0.833773, train.dry.acc = 0.870279,train.acc = 0.856275, test.rain.acc = 0.737864, test.dry.acc = 0.875472, test.acc = 0.836957
c = 16, sigma = 0.001, train.rain.acc = 0.832021, train.dry.acc = 0.871499,train.acc = 0.856275, test.rain.acc = 0.723810, test.dry.acc = 0.874525, test.acc = 0.831522
c = 17, sigma = 0.001, train.rain.acc = 0.832021, train.dry.acc = 0.871499,train.acc = 0.856275, test.rain.acc = 0.723810, test.dry.acc = 0.874525, test.acc = 0.831522
c = 18, sigma = 0.001, train.rain.acc = 0.832021, train.dry.acc = 0.871499,train.acc = 0.856275, test.rain.acc = 0.710280, test.dry.acc = 0.873563, test.acc = 0.826087
c = 19, sigma = 0.001, train.rain.acc = 0.833773, train.dry.acc = 0.870279,train.acc = 0.856275, test.rain.acc = 0.710280, test.dry.acc = 0.873563, test.acc = 0.826087
c = 20, sigma = 0.001, train.rain.acc = 0.833773, train.dry.acc = 0.870279,train.acc = 0.856275, test.rain.acc = 0.710280, test.dry.acc = 0.873563, test.acc = 0.826087
c = 21, sigma = 0.001, train.rain.acc = 0.833773, train.dry.acc = 0.870279,train.acc = 0.856275, test.rain.acc = 0.710280, test.dry.acc = 0.873563, test.acc = 0.826087
c = 22, sigma = 0.001, train.rain.acc = 0.836412, train.dry.acc = 0.871921,train.acc = 0.858300, test.rain.acc = 0.710280, test.dry.acc = 0.873563, test.acc = 0.826087
c = 23, sigma = 0.001, train.rain.acc = 0.836412, train.dry.acc = 0.871921,train.acc = 0.858300, test.rain.acc = 0.710280, test.dry.acc = 0.873563, test.acc = 0.826087
c = 24, sigma = 0.001, train.rain.acc = 0.835979, train.dry.acc = 0.870492,train.acc = 0.857287, test.rain.acc = 0.710280, test.dry.acc = 0.873563, test.acc = 0.826087
c = 25, sigma = 0.001, train.rain.acc = 0.838196, train.dry.acc = 0.870704,train.acc = 0.858300, test.rain.acc = 0.710280, test.dry.acc = 0.873563, test.acc = 0.826087
c = 26, sigma = 0.001, train.rain.acc = 0.838196, train.dry.acc = 0.870704,train.acc = 0.858300, test.rain.acc = 0.723810, test.dry.acc = 0.874525, test.acc = 0.831522
c = 27, sigma = 0.001, train.rain.acc = 0.838624, train.dry.acc = 0.872131,train.acc = 0.859312, test.rain.acc = 0.723810, test.dry.acc = 0.874525, test.acc = 0.831522
c = 28, sigma = 0.001, train.rain.acc = 0.839050, train.dry.acc = 0.873563,train.acc = 0.860324, test.rain.acc = 0.714286, test.dry.acc = 0.870722, test.acc = 0.826087
c = 29, sigma = 0.001, train.rain.acc = 0.836842, train.dry.acc = 0.873355,train.acc = 0.859312, test.rain.acc = 0.714286, test.dry.acc = 0.870722, test.acc = 0.826087
c = 30, sigma = 0.001, train.rain.acc = 0.837270, train.dry.acc = 0.874794,train.acc = 0.860324, test.rain.acc = 0.723810, test.dry.acc = 0.874525, test.acc = 0.831522
c = 31, sigma = 0.001, train.rain.acc = 0.839474, train.dry.acc = 0.875000,train.acc = 0.861336, test.rain.acc = 0.716981, test.dry.acc = 0.874046, test.acc = 0.828804
c = 32, sigma = 0.001, train.rain.acc = 0.839050, train.dry.acc = 0.873563,train.acc = 0.860324, test.rain.acc = 0.723810, test.dry.acc = 0.874525, test.acc = 0.831522
c = 33, sigma = 0.001, train.rain.acc = 0.839050, train.dry.acc = 0.873563,train.acc = 0.860324, test.rain.acc = 0.719626, test.dry.acc = 0.877395, test.acc = 0.831522
c = 34, sigma = 0.001, train.rain.acc = 0.839050, train.dry.acc = 0.873563,train.acc = 0.860324, test.rain.acc = 0.719626, test.dry.acc = 0.877395, test.acc = 0.831522
c = 35, sigma = 0.001, train.rain.acc = 0.836842, train.dry.acc = 0.873355,train.acc = 0.859312, test.rain.acc = 0.716981, test.dry.acc = 0.874046, test.acc = 0.828804
c = 36, sigma = 0.001, train.rain.acc = 0.838624, train.dry.acc = 0.872131,train.acc = 0.859312, test.rain.acc = 0.716981, test.dry.acc = 0.874046, test.acc = 0.828804
c = 37, sigma = 0.001, train.rain.acc = 0.836842, train.dry.acc = 0.873355,train.acc = 0.859312, test.rain.acc = 0.719626, test.dry.acc = 0.877395, test.acc = 0.831522
c = 38, sigma = 0.001, train.rain.acc = 0.836842, train.dry.acc = 0.873355,train.acc = 0.859312, test.rain.acc = 0.726415, test.dry.acc = 0.877863, test.acc = 0.834239
c = 39, sigma = 0.001, train.rain.acc = 0.836842, train.dry.acc = 0.873355,train.acc = 0.859312, test.rain.acc = 0.726415, test.dry.acc = 0.877863, test.acc = 0.834239
c = 40, sigma = 0.001, train.rain.acc = 0.836842, train.dry.acc = 0.873355,train.acc = 0.859312, test.rain.acc = 0.723810, test.dry.acc = 0.874525, test.acc = 0.831522
c = 41, sigma = 0.001, train.rain.acc = 0.838624, train.dry.acc = 0.872131,train.acc = 0.859312, test.rain.acc = 0.723810, test.dry.acc = 0.874525, test.acc = 0.831522
c = 42, sigma = 0.001, train.rain.acc = 0.838624, train.dry.acc = 0.872131,train.acc = 0.859312, test.rain.acc = 0.723810, test.dry.acc = 0.874525, test.acc = 0.831522
c = 43, sigma = 0.001, train.rain.acc = 0.838196, train.dry.acc = 0.870704,train.acc = 0.858300, test.rain.acc = 0.726415, test.dry.acc = 0.877863, test.acc = 0.834239
c = 44, sigma = 0.001, train.rain.acc = 0.838196, train.dry.acc = 0.870704,train.acc = 0.858300, test.rain.acc = 0.726415, test.dry.acc = 0.877863, test.acc = 0.834239
c = 45, sigma = 0.001, train.rain.acc = 0.840426, train.dry.acc = 0.870915,train.acc = 0.859312, test.rain.acc = 0.726415, test.dry.acc = 0.877863, test.acc = 0.834239
c = 46, sigma = 0.001, train.rain.acc = 0.842667, train.dry.acc = 0.871126,train.acc = 0.860324, test.rain.acc = 0.726415, test.dry.acc = 0.877863, test.acc = 0.834239
c = 47, sigma = 0.001, train.rain.acc = 0.842246, train.dry.acc = 0.869707,train.acc = 0.859312, test.rain.acc = 0.726415, test.dry.acc = 0.877863, test.acc = 0.834239
c = 48, sigma = 0.001, train.rain.acc = 0.842667, train.dry.acc = 0.871126,train.acc = 0.860324, test.rain.acc = 0.726415, test.dry.acc = 0.877863, test.acc = 0.834239
c = 49, sigma = 0.001, train.rain.acc = 0.842667, train.dry.acc = 0.871126,train.acc = 0.860324, test.rain.acc = 0.726415, test.dry.acc = 0.877863, test.acc = 0.834239
c = 50, sigma = 0.001, train.rain.acc = 0.843085, train.dry.acc = 0.872549,train.acc = 0.861336, test.rain.acc = 0.726415, test.dry.acc = 0.877863, test.acc = 0.834239
c = 51, sigma = 0.001, train.rain.acc = 0.843085, train.dry.acc = 0.872549,train.acc = 0.861336, test.rain.acc = 0.726415, test.dry.acc = 0.877863, test.acc = 0.834239
c = 52, sigma = 0.001, train.rain.acc = 0.843085, train.dry.acc = 0.872549,train.acc = 0.861336, test.rain.acc = 0.726415, test.dry.acc = 0.877863, test.acc = 0.834239
c = 53, sigma = 0.001, train.rain.acc = 0.843085, train.dry.acc = 0.872549,train.acc = 0.861336, test.rain.acc = 0.726415, test.dry.acc = 0.877863, test.acc = 0.834239
c = 54, sigma = 0.001, train.rain.acc = 0.843085, train.dry.acc = 0.872549,train.acc = 0.861336, test.rain.acc = 0.726415, test.dry.acc = 0.877863, test.acc = 0.834239
c = 55, sigma = 0.001, train.rain.acc = 0.843085, train.dry.acc = 0.872549,train.acc = 0.861336, test.rain.acc = 0.726415, test.dry.acc = 0.877863, test.acc = 0.834239
