c = 1, sigma = 0.1, train.rain.acc = 0.871560, train.dry.acc = 0.866359,train.acc = 0.868445, test.rain.acc = 0.785185, test.dry.acc = 0.865672, test.acc = 0.838710
c = 1, sigma = 0.001, train.rain.acc = 0.832134, train.dry.acc = 0.820896,train.acc = 0.825207, test.rain.acc = 0.762963, test.dry.acc = 0.854478, test.acc = 0.823821
c = 2, sigma = 0.001, train.rain.acc = 0.827907, train.dry.acc = 0.831050,train.acc = 0.829807, test.rain.acc = 0.759124, test.dry.acc = 0.857143, test.acc = 0.823821
c = 3, sigma = 0.001, train.rain.acc = 0.835681, train.dry.acc = 0.832073,train.acc = 0.833487, test.rain.acc = 0.772059, test.dry.acc = 0.861423, test.acc = 0.831266
c = 4, sigma = 0.001, train.rain.acc = 0.836449, train.dry.acc = 0.834598,train.acc = 0.835327, test.rain.acc = 0.772059, test.dry.acc = 0.861423, test.acc = 0.831266
c = 5, sigma = 0.001, train.rain.acc = 0.841121, train.dry.acc = 0.837633,train.acc = 0.839006, test.rain.acc = 0.761194, test.dry.acc = 0.851301, test.acc = 0.821340
c = 6, sigma = 0.001, train.rain.acc = 0.839161, train.dry.acc = 0.837386,train.acc = 0.838086, test.rain.acc = 0.760870, test.dry.acc = 0.860377, test.acc = 0.826303
c = 7, sigma = 0.001, train.rain.acc = 0.839161, train.dry.acc = 0.837386,train.acc = 0.838086, test.rain.acc = 0.753623, test.dry.acc = 0.856604, test.acc = 0.821340
c = 8, sigma = 0.001, train.rain.acc = 0.837529, train.dry.acc = 0.844615,train.acc = 0.841766, test.rain.acc = 0.742857, test.dry.acc = 0.855513, test.acc = 0.816377
c = 9, sigma = 0.001, train.rain.acc = 0.840278, train.dry.acc = 0.841221,train.acc = 0.840846, test.rain.acc = 0.759124, test.dry.acc = 0.857143, test.acc = 0.823821
c = 10, sigma = 0.001, train.rain.acc = 0.842105, train.dry.acc = 0.847692,train.acc = 0.845446, test.rain.acc = 0.748201, test.dry.acc = 0.856061, test.acc = 0.818859
c = 11, sigma = 0.001, train.rain.acc = 0.840183, train.dry.acc = 0.847458,train.acc = 0.844526, test.rain.acc = 0.742857, test.dry.acc = 0.855513, test.acc = 0.816377
c = 12, sigma = 0.001, train.rain.acc = 0.844037, train.dry.acc = 0.847926,train.acc = 0.846366, test.rain.acc = 0.748201, test.dry.acc = 0.856061, test.acc = 0.818859
c = 13, sigma = 0.001, train.rain.acc = 0.844037, train.dry.acc = 0.847926,train.acc = 0.846366, test.rain.acc = 0.748201, test.dry.acc = 0.856061, test.acc = 0.818859
c = 14, sigma = 0.001, train.rain.acc = 0.844394, train.dry.acc = 0.849231,train.acc = 0.847286, test.rain.acc = 0.753623, test.dry.acc = 0.856604, test.acc = 0.821340
c = 15, sigma = 0.001, train.rain.acc = 0.842466, train.dry.acc = 0.848998,train.acc = 0.846366, test.rain.acc = 0.742857, test.dry.acc = 0.855513, test.acc = 0.816377
c = 16, sigma = 0.001, train.rain.acc = 0.840547, train.dry.acc = 0.848765,train.acc = 0.845446, test.rain.acc = 0.735714, test.dry.acc = 0.851711, test.acc = 0.811414
c = 17, sigma = 0.001, train.rain.acc = 0.840183, train.dry.acc = 0.847458,train.acc = 0.844526, test.rain.acc = 0.741007, test.dry.acc = 0.852273, test.acc = 0.813896
c = 18, sigma = 0.001, train.rain.acc = 0.842105, train.dry.acc = 0.847692,train.acc = 0.845446, test.rain.acc = 0.746377, test.dry.acc = 0.852830, test.acc = 0.816377
c = 19, sigma = 0.001, train.rain.acc = 0.844394, train.dry.acc = 0.849231,train.acc = 0.847286, test.rain.acc = 0.744681, test.dry.acc = 0.858779, test.acc = 0.818859
c = 20, sigma = 0.001, train.rain.acc = 0.842825, train.dry.acc = 0.850309,train.acc = 0.847286, test.rain.acc = 0.744681, test.dry.acc = 0.858779, test.acc = 0.818859
c = 21, sigma = 0.001, train.rain.acc = 0.845103, train.dry.acc = 0.851852,train.acc = 0.849126, test.rain.acc = 0.744681, test.dry.acc = 0.858779, test.acc = 0.818859
c = 22, sigma = 0.001, train.rain.acc = 0.843891, train.dry.acc = 0.854264,train.acc = 0.850046, test.rain.acc = 0.744681, test.dry.acc = 0.858779, test.acc = 0.818859
c = 23, sigma = 0.001, train.rain.acc = 0.841270, train.dry.acc = 0.851393,train.acc = 0.847286, test.rain.acc = 0.744681, test.dry.acc = 0.858779, test.acc = 0.818859
c = 24, sigma = 0.001, train.rain.acc = 0.839729, train.dry.acc = 0.852484,train.acc = 0.847286, test.rain.acc = 0.750000, test.dry.acc = 0.859316, test.acc = 0.821340
c = 25, sigma = 0.001, train.rain.acc = 0.840449, train.dry.acc = 0.855140,train.acc = 0.849126, test.rain.acc = 0.744681, test.dry.acc = 0.858779, test.acc = 0.818859
c = 26, sigma = 0.001, train.rain.acc = 0.840807, train.dry.acc = 0.856474,train.acc = 0.850046, test.rain.acc = 0.744681, test.dry.acc = 0.858779, test.acc = 0.818859
c = 27, sigma = 0.001, train.rain.acc = 0.835189, train.dry.acc = 0.855799,train.acc = 0.847286, test.rain.acc = 0.739437, test.dry.acc = 0.858238, test.acc = 0.816377
c = 28, sigma = 0.001, train.rain.acc = 0.835189, train.dry.acc = 0.855799,train.acc = 0.847286, test.rain.acc = 0.739437, test.dry.acc = 0.858238, test.acc = 0.816377
c = 29, sigma = 0.001, train.rain.acc = 0.831486, train.dry.acc = 0.855346,train.acc = 0.845446, test.rain.acc = 0.739437, test.dry.acc = 0.858238, test.acc = 0.816377
c = 30, sigma = 0.001, train.rain.acc = 0.831486, train.dry.acc = 0.855346,train.acc = 0.845446, test.rain.acc = 0.739437, test.dry.acc = 0.858238, test.acc = 0.816377
c = 31, sigma = 0.001, train.rain.acc = 0.833333, train.dry.acc = 0.855573,train.acc = 0.846366, test.rain.acc = 0.746479, test.dry.acc = 0.862069, test.acc = 0.821340
c = 32, sigma = 0.001, train.rain.acc = 0.833333, train.dry.acc = 0.855573,train.acc = 0.846366, test.rain.acc = 0.744681, test.dry.acc = 0.858779, test.acc = 0.818859
c = 33, sigma = 0.001, train.rain.acc = 0.833333, train.dry.acc = 0.855573,train.acc = 0.846366, test.rain.acc = 0.744681, test.dry.acc = 0.858779, test.acc = 0.818859
c = 34, sigma = 0.001, train.rain.acc = 0.833333, train.dry.acc = 0.855573,train.acc = 0.846366, test.rain.acc = 0.744681, test.dry.acc = 0.858779, test.acc = 0.818859
c = 35, sigma = 0.001, train.rain.acc = 0.837054, train.dry.acc = 0.856025,train.acc = 0.848206, test.rain.acc = 0.744681, test.dry.acc = 0.858779, test.acc = 0.818859
c = 36, sigma = 0.001, train.rain.acc = 0.838926, train.dry.acc = 0.856250,train.acc = 0.849126, test.rain.acc = 0.742857, test.dry.acc = 0.855513, test.acc = 0.816377
c = 37, sigma = 0.001, train.rain.acc = 0.838926, train.dry.acc = 0.856250,train.acc = 0.849126, test.rain.acc = 0.742857, test.dry.acc = 0.855513, test.acc = 0.816377
c = 38, sigma = 0.001, train.rain.acc = 0.838926, train.dry.acc = 0.856250,train.acc = 0.849126, test.rain.acc = 0.741007, test.dry.acc = 0.852273, test.acc = 0.813896
c = 39, sigma = 0.001, train.rain.acc = 0.835189, train.dry.acc = 0.855799,train.acc = 0.847286, test.rain.acc = 0.741007, test.dry.acc = 0.852273, test.acc = 0.813896
c = 40, sigma = 0.001, train.rain.acc = 0.831486, train.dry.acc = 0.855346,train.acc = 0.845446, test.rain.acc = 0.741007, test.dry.acc = 0.852273, test.acc = 0.813896
c = 41, sigma = 0.001, train.rain.acc = 0.833333, train.dry.acc = 0.855573,train.acc = 0.846366, test.rain.acc = 0.741007, test.dry.acc = 0.852273, test.acc = 0.813896
c = 42, sigma = 0.001, train.rain.acc = 0.833333, train.dry.acc = 0.855573,train.acc = 0.846366, test.rain.acc = 0.741007, test.dry.acc = 0.852273, test.acc = 0.813896
c = 43, sigma = 0.001, train.rain.acc = 0.833333, train.dry.acc = 0.855573,train.acc = 0.846366, test.rain.acc = 0.735714, test.dry.acc = 0.851711, test.acc = 0.811414
c = 44, sigma = 0.001, train.rain.acc = 0.833333, train.dry.acc = 0.855573,train.acc = 0.846366, test.rain.acc = 0.735714, test.dry.acc = 0.851711, test.acc = 0.811414
c = 45, sigma = 0.001, train.rain.acc = 0.833333, train.dry.acc = 0.855573,train.acc = 0.846366, test.rain.acc = 0.735714, test.dry.acc = 0.851711, test.acc = 0.811414
