c = 1, sigma = 0.1, train.rain.acc = 0.819383, train.dry.acc = 0.809769,train.acc = 0.815888, test.rain.acc = 0.810811, test.dry.acc = 0.823204, test.acc = 0.816377
c = 1, sigma = 0.001, train.rain.acc = 0.677305, train.dry.acc = 0.736607,train.acc = 0.689720, test.rain.acc = 0.678832, test.dry.acc = 0.798450, test.acc = 0.717122
c = 2, sigma = 0.001, train.rain.acc = 0.709554, train.dry.acc = 0.736842,train.acc = 0.716822, test.rain.acc = 0.713710, test.dry.acc = 0.774194, test.acc = 0.736973
c = 3, sigma = 0.001, train.rain.acc = 0.721268, train.dry.acc = 0.725240,train.acc = 0.722430, test.rain.acc = 0.725000, test.dry.acc = 0.766871, test.acc = 0.741935
c = 4, sigma = 0.001, train.rain.acc = 0.725333, train.dry.acc = 0.725000,train.acc = 0.725234, test.rain.acc = 0.731092, test.dry.acc = 0.769697, test.acc = 0.746898
c = 5, sigma = 0.001, train.rain.acc = 0.731707, train.dry.acc = 0.722892,train.acc = 0.728972, test.rain.acc = 0.735043, test.dry.acc = 0.763314, test.acc = 0.746898
c = 6, sigma = 0.001, train.rain.acc = 0.735695, train.dry.acc = 0.726190,train.acc = 0.732710, test.rain.acc = 0.746725, test.dry.acc = 0.764368, test.acc = 0.754342
c = 7, sigma = 0.001, train.rain.acc = 0.736339, train.dry.acc = 0.724852,train.acc = 0.732710, test.rain.acc = 0.753304, test.dry.acc = 0.767045, test.acc = 0.759305
c = 8, sigma = 0.001, train.rain.acc = 0.737997, train.dry.acc = 0.724340,train.acc = 0.733645, test.rain.acc = 0.750000, test.dry.acc = 0.765714, test.acc = 0.756824
c = 9, sigma = 0.001, train.rain.acc = 0.738652, train.dry.acc = 0.723032,train.acc = 0.733645, test.rain.acc = 0.753304, test.dry.acc = 0.767045, test.acc = 0.759305
c = 10, sigma = 0.001, train.rain.acc = 0.741713, train.dry.acc = 0.725434,train.acc = 0.736449, test.rain.acc = 0.751111, test.dry.acc = 0.758427, test.acc = 0.754342
c = 11, sigma = 0.001, train.rain.acc = 0.743412, train.dry.acc = 0.724928,train.acc = 0.737383, test.rain.acc = 0.751111, test.dry.acc = 0.758427, test.acc = 0.754342
c = 12, sigma = 0.001, train.rain.acc = 0.742382, train.dry.acc = 0.724138,train.acc = 0.736449, test.rain.acc = 0.753363, test.dry.acc = 0.755556, test.acc = 0.754342
c = 13, sigma = 0.001, train.rain.acc = 0.743733, train.dry.acc = 0.721591,train.acc = 0.736449, test.rain.acc = 0.754464, test.dry.acc = 0.759777, test.acc = 0.756824
c = 14, sigma = 0.001, train.rain.acc = 0.743697, train.dry.acc = 0.716292,train.acc = 0.734579, test.rain.acc = 0.757848, test.dry.acc = 0.761111, test.acc = 0.759305
c = 15, sigma = 0.001, train.rain.acc = 0.744382, train.dry.acc = 0.715084,train.acc = 0.734579, test.rain.acc = 0.756757, test.dry.acc = 0.756906, test.acc = 0.756824
c = 16, sigma = 0.001, train.rain.acc = 0.745070, train.dry.acc = 0.713889,train.acc = 0.734579, test.rain.acc = 0.756757, test.dry.acc = 0.756906, test.acc = 0.756824
c = 17, sigma = 0.001, train.rain.acc = 0.746121, train.dry.acc = 0.714681,train.acc = 0.735514, test.rain.acc = 0.761261, test.dry.acc = 0.762431, test.acc = 0.761787
c = 18, sigma = 0.001, train.rain.acc = 0.746121, train.dry.acc = 0.714681,train.acc = 0.735514, test.rain.acc = 0.762332, test.dry.acc = 0.766667, test.acc = 0.764268
c = 19, sigma = 0.001, train.rain.acc = 0.746121, train.dry.acc = 0.714681,train.acc = 0.735514, test.rain.acc = 0.772727, test.dry.acc = 0.770492, test.acc = 0.771712
