c = 1, sigma = 0.1, train.rain.acc = 0.801303, train.dry.acc = 0.771058,train.acc = 0.788301, test.rain.acc = 0.826667, test.dry.acc = 0.775281, test.acc = 0.803970
c = 1, sigma = 0.001, train.rain.acc = 0.694767, train.dry.acc = 0.691517,train.acc = 0.693593, test.rain.acc = 0.721569, test.dry.acc = 0.716216, test.acc = 0.719603
c = 2, sigma = 0.001, train.rain.acc = 0.704893, train.dry.acc = 0.676123,train.acc = 0.693593, test.rain.acc = 0.745833, test.dry.acc = 0.711656, test.acc = 0.732010
c = 3, sigma = 0.001, train.rain.acc = 0.708527, train.dry.acc = 0.673611,train.acc = 0.694522, test.rain.acc = 0.754237, test.dry.acc = 0.712575, test.acc = 0.736973
c = 4, sigma = 0.001, train.rain.acc = 0.708723, train.dry.acc = 0.671264,train.acc = 0.693593, test.rain.acc = 0.754237, test.dry.acc = 0.712575, test.acc = 0.736973
c = 5, sigma = 0.001, train.rain.acc = 0.714511, train.dry.acc = 0.672686,train.acc = 0.697307, test.rain.acc = 0.750000, test.dry.acc = 0.695906, test.acc = 0.727047
c = 6, sigma = 0.001, train.rain.acc = 0.717908, train.dry.acc = 0.674888,train.acc = 0.700093, test.rain.acc = 0.753247, test.dry.acc = 0.697674, test.acc = 0.729529
c = 7, sigma = 0.001, train.rain.acc = 0.714961, train.dry.acc = 0.674208,train.acc = 0.698236, test.rain.acc = 0.756522, test.dry.acc = 0.699422, test.acc = 0.732010
c = 8, sigma = 0.001, train.rain.acc = 0.718799, train.dry.acc = 0.677928,train.acc = 0.701950, test.rain.acc = 0.759825, test.dry.acc = 0.701149, test.acc = 0.734491
c = 9, sigma = 0.001, train.rain.acc = 0.719493, train.dry.acc = 0.677130,train.acc = 0.701950, test.rain.acc = 0.765487, test.dry.acc = 0.700565, test.acc = 0.736973
c = 10, sigma = 0.001, train.rain.acc = 0.719493, train.dry.acc = 0.677130,train.acc = 0.701950, test.rain.acc = 0.766520, test.dry.acc = 0.704545, test.acc = 0.739454
c = 11, sigma = 0.001, train.rain.acc = 0.716981, train.dry.acc = 0.678005,train.acc = 0.701021, test.rain.acc = 0.759825, test.dry.acc = 0.701149, test.acc = 0.734491
c = 12, sigma = 0.001, train.rain.acc = 0.715856, train.dry.acc = 0.677273,train.acc = 0.700093, test.rain.acc = 0.763158, test.dry.acc = 0.702857, test.acc = 0.736973
c = 13, sigma = 0.001, train.rain.acc = 0.715856, train.dry.acc = 0.677273,train.acc = 0.700093, test.rain.acc = 0.766520, test.dry.acc = 0.704545, test.acc = 0.739454
c = 14, sigma = 0.001, train.rain.acc = 0.720820, train.dry.acc = 0.681716,train.acc = 0.704735, test.rain.acc = 0.772321, test.dry.acc = 0.703911, test.acc = 0.741935
c = 15, sigma = 0.001, train.rain.acc = 0.726115, train.dry.acc = 0.683742,train.acc = 0.708449, test.rain.acc = 0.771300, test.dry.acc = 0.700000, test.acc = 0.739454
c = 16, sigma = 0.001, train.rain.acc = 0.724960, train.dry.acc = 0.683036,train.acc = 0.707521, test.rain.acc = 0.774775, test.dry.acc = 0.701657, test.acc = 0.741935
c = 17, sigma = 0.001, train.rain.acc = 0.724960, train.dry.acc = 0.683036,train.acc = 0.707521, test.rain.acc = 0.773756, test.dry.acc = 0.697802, test.acc = 0.739454
c = 18, sigma = 0.001, train.rain.acc = 0.724960, train.dry.acc = 0.683036,train.acc = 0.707521, test.rain.acc = 0.774775, test.dry.acc = 0.701657, test.acc = 0.741935
c = 19, sigma = 0.001, train.rain.acc = 0.724960, train.dry.acc = 0.683036,train.acc = 0.707521, test.rain.acc = 0.774775, test.dry.acc = 0.701657, test.acc = 0.741935
c = 20, sigma = 0.001, train.rain.acc = 0.724960, train.dry.acc = 0.683036,train.acc = 0.707521, test.rain.acc = 0.774775, test.dry.acc = 0.701657, test.acc = 0.741935
c = 21, sigma = 0.001, train.rain.acc = 0.724960, train.dry.acc = 0.683036,train.acc = 0.707521, test.rain.acc = 0.774775, test.dry.acc = 0.701657, test.acc = 0.741935
c = 22, sigma = 0.001, train.rain.acc = 0.724522, train.dry.acc = 0.681514,train.acc = 0.706592, test.rain.acc = 0.774775, test.dry.acc = 0.701657, test.acc = 0.741935
c = 23, sigma = 0.001, train.rain.acc = 0.723810, train.dry.acc = 0.682327,train.acc = 0.706592, test.rain.acc = 0.774775, test.dry.acc = 0.701657, test.acc = 0.741935
