date,ncep_dswr,ncep_lftx,ncep_p__f,ncep_p__u,ncep_p__v,ncep_p__z,ncep_p_th,ncep_p_zh,ncep_p5_f,ncep_p5_z,ncep_p5th,ncep_p5zh,ncep_p8_f,ncep_p8_z,ncep_p8th,ncep_p8zh,ncep_pottmp,ncep_pr_wtr,ncep_prec,ncep_shum,Temp,temp500,temp700,temp850,temp925,dlwrf,mslp,P300,P500,P850,R500,R850,rhum,shum300,shum400,shum500,shum700,shum850,shum925,Tas,U500,U700,U850,U925,Uas,ulwrf,V500,V700,V850,V925,Vas,uswrf,dswrf,rainfall,clazz
10/1/1964,0.792,-0.879,-0.168,-0.291,0.028,0.323,266.253,0.104,0.104,-0.008,201.94,0.928,-0.406,-0.023,249.807,0.423,0.719,0.536,1.786,0.736,297.830017089844,267.929992675781,283.660003662109,289.780029296875,293,398.599853515625,101308,9714,5880,1526,63.760009765625,75.760009765625,88.2599945068359,0.000381000339984894,0.00132200121879578,0.00328200124204159,0.00457300245761871,0.0104680024087429,0.0134180020540953,298.710021972656,-0.539993286132813,-0.469985961914063,-3.69999694824219,-6.51998901367188,-6.22000122070313,449.099853515625,-4.21998596191406,-3.16999816894531,-2.26998901367187,-4.46998596191406,-4.09999084472656,35.800048828125,237.099853515625,0.727,1
10/2/1964,0.406,-0.548,-0.241,-0.22,-0.169,0.236,259.095,0.064,0.064,0.839,234.651,1.133,-0.207,0.761,257.556,0.459,0.521,0.42,3.882,0.638,297.380004882812,267.850006103516,283.210021972656,289.809997558594,292.380004882812,396.099853515625,101253,9691,5866,1516,51.510009765625,76.510009765625,89.0099945068359,0.000447001308202744,0.000585000962018967,0.00263600237667561,0.00503300130367279,0.0106200017035007,0.0136830024421215,297.630004882812,-3.56999206542969,-2.03999328613281,-2.44999694824219,-5.1199951171875,-5.19999694824219,448.599853515625,-4.69999694824219,-3.93998718261719,-2.19999694824219,-3.51998901367187,-5.13999938964844,34.599853515625,229.099853515625,0,-1
10/3/1964,-0.039,-0.685,0.218,-0.582,0.057,0.64,267.78,-0.075,-0.075,1.178,262.745,0.377,0.386,0.558,270,0.149,0.6,0.413,10.685,0.728,297.760009765625,267.880004882812,283.100006103516,289.609985351562,292.5,398.800048828125,101203,9689,5866,1516,42.5,71.760009765625,89.0099945068359,0.000757001340389252,0.00123000144958496,0.00217800214886665,0.00543800182640553,0.00985100120306015,0.0129560008645058,298.029998779297,-6.69999694824219,-5.63998413085938,-7.33999633789063,-8.6199951171875,-9.09999084472656,449.099853515625,-0.639999389648438,-1.3699951171875,-0.939987182617188,-1.56999206542969,-4.27000427246094,32.599853515625,214.599853515625,40.206,1
10/4/1964,-0.177,-0.982,-0.176,-0.243,0.633,0.293,286.6,-0.395,-0.395,0.642,314.444,-0.433,0.157,0.281,296.123,-0.339,0.679,0.562,3.025,0.861,298.080017089844,267.780029296875,284.460021972656,290.350006103516,293.059997558594,401.099853515625,101168,9717,5880,1516,47.260009765625,70.260009765625,91.7599945068359,0.000708002597093582,0.00158500112593174,0.00240400247275829,0.00585300102829933,0.0101200006902218,0.0141180008649826,298.429992675781,-2.03999328613281,-5.91999816894531,-5.13998413085938,-6.24998474121094,-7.44000244140625,449.300048828125,3.81001281738281,2.00001525878906,2.23001098632812,1.6300048828125,-0.470001220703125,29.599853515625,192.300048828125,3.327,1
10/5/1964,0.257,-0.985,-0.132,-0.259,0.723,0.889,289.165,-0.621,-0.621,-0.872,315.326,-0.833,0.934,-0.438,296.123,-0.789,0.916,0.559,4.819,1.023,298.47998046875,268.580017089844,284.030029296875,290.410003662109,294.710021972656,408.300048828125,101065,9720,5879,1514,35.75,74.260009765625,87.7599945068359,0.000837001949548721,0.00126100331544876,0.00193500146269798,0.00531800091266632,0.0107350014150143,0.0144810006022453,299.460021972656,-2.33999633789062,-6.739990234375,-6.14999389648438,-5.96998596191406,-5.55000305175781,448.599853515625,4.78001403808594,5.41000366210938,2.66000366210937,1.68000793457031,0.0099945068359375,31.599853515625,209.099853515625,0,-1
10/6/1964,-0.331,-0.976,0.12,-0.494,0.452,0.575,278.627,-0.467,-0.467,-0.524,337.61,-0.839,0.089,-0.065,290.193,-0.577,0.699,1.213,5.995,0.871,298.029998779297,268.179992675781,282.980010986328,290.299987792969,294.049987792969,410.300048828125,101168,9714,5875,1518,68.260009765625,81.010009765625,91.5099945068359,0.000989001244306564,0.00168700143694878,0.00358200073242187,0.00712300091981888,0.0116060022264719,0.0149830020964146,298.529998779297,-1.06999206542969,-3.239990234375,-5.58999633789063,-7.33999633789063,-7.47000122070313,446.800048828125,5.46000671386719,4.40000915527344,0.980010986328125,-1.76998901367188,-2.49000549316406,28.099853515625,188.599853515625,0.126,-1
10/7/1964,-0.413,-0.99,-0.264,-0.214,0.339,0.821,277.034,-0.219,-0.219,-1.039,9.357,-0.66,-0.267,0.679,296.988,-0.308,0.738,0.935,2.219,0.843,298.099975585937,267.460021972656,283.130004882812,290.350006103516,293.929992675781,411.099853515625,101323,9717,5883,1529,60.760009765625,74.760009765625,88.5099945068359,0.000848002731800079,0.00182400085031986,0.00301000103354454,0.00603100098669529,0.0107530020177364,0.0145850013941526,298.75,0.780014038085938,-1.66999816894531,-5.16999816894531,-7.1199951171875,-5.13999938964844,446.300048828125,4.3800048828125,4.23001098632813,2.90000915527344,-0.519989013671875,-1.3699951171875,25.099853515625,154.800048828125,15.213,1
10/8/1964,-0.123,-0.883,-0.134,-0.268,-0.384,1.059,252.727,0.41,0.41,-1.457,66.565,-0.558,-0.974,-0.044,293.814,-0.028,0.56,0.865,5.448,0.7,297.22998046875,267.380004882812,282.530029296875,289.480010986328,293.030029296875,404.599853515625,101280,9712,5871,1523,60.510009765625,80.010009765625,92.0099945068359,0.000961001962423325,0.00195700116455555,0.00297200120985508,0.00621800124645233,0.0108630023896694,0.0136500019580126,297.900024414063,6.68000793457031,3.33000183105469,-3.13998413085937,-6.13998413085938,-4.94000244140625,444.599853515625,5.58000183105469,3.40000915527344,1.73001098632813,-2.81999206542969,-5.27000427246094,26.599853515625,170.599853515625,9.217,1
10/9/1964,-0.598,-0.294,1.134,-1.269,0.198,0.468,270.988,-0.051,-0.051,-1.818,54.925,-0.325,0.78,-0.082,274.506,-0.162,0.165,1.024,11.706,0.399,296.029998779297,267.799987792969,282.030029296875,287,289.630004882813,395.300048828125,101358,9695,5858,1516,75.510009765625,96.010009765625,94.2599945068359,0.00069500133395195,0.00224600173532963,0.00382000207901001,0.00691000185906887,0.0111010018736124,0.0126250013709068,295.960021972656,2.6300048828125,-1.88999938964844,-9.49998474121094,-12.2199859619141,-9.94000244140625,443.300048828125,3.03001403808594,1.8800048828125,-3.09999084472656,-8.76998901367188,-8.06999206542969,26.300048828125,175.300048828125,4.522,1
10/10/1964,-0.53,-0.574,1.201,-1.243,1.033,0.324,285.421,-1.149,-1.149,-1.187,13.587,-1.233,1.169,-0.082,302.231,-1.406,0.383,1.353,11.317,0.654,297.029998779297,267.309997558594,281.230010986328,287.230010986328,290.530029296875,405.099853515625,101348,9691,5861,1520,71.760009765625,98.760009765625,91.2599945068359,0.000786002725362778,0.00211100094020367,0.0035260021686554,0.00812300108373165,0.011608000844717,0.013323001563549,297,0.760009765625,-0.419998168945313,-10.9499969482422,-15.3899841308594,-12.6399993896484,443.800048828125,7.68000793457031,7.93000793457031,4.68000793457031,-1.51998901367188,-3.53999328613281,24.800048828125,158.800048828125,34.724,1
