c = 1, sigma = 0.1, train.rain.acc = 0.835498, train.dry.acc = 0.871886,train.acc = 0.864060, test.rain.acc = 0.752688, test.dry.acc = 0.877419, test.acc = 0.848635
c = 1, sigma = 0.001, train.rain.acc = 1.000000, train.dry.acc = 0.725822,train.acc = 0.728119, test.rain.acc = 1.000000, test.dry.acc = 0.739348, test.acc = 0.741935
c = 2, sigma = 0.001, train.rain.acc = 0.817391, train.dry.acc = 0.784150,train.acc = 0.787709, test.rain.acc = 0.755102, test.dry.acc = 0.799435, test.acc = 0.794045
c = 3, sigma = 0.001, train.rain.acc = 0.791411, train.dry.acc = 0.811196,train.acc = 0.808194, test.rain.acc = 0.739130, test.dry.acc = 0.829341, test.acc = 0.813896
c = 4, sigma = 0.001, train.rain.acc = 0.791209, train.dry.acc = 0.823991,train.acc = 0.818436, test.rain.acc = 0.736842, test.dry.acc = 0.840979, test.acc = 0.821340
c = 5, sigma = 0.001, train.rain.acc = 0.780105, train.dry.acc = 0.827860,train.acc = 0.819367, test.rain.acc = 0.730769, test.dry.acc = 0.843077, test.acc = 0.821340
c = 6, sigma = 0.001, train.rain.acc = 0.782828, train.dry.acc = 0.833333,train.acc = 0.824022, test.rain.acc = 0.719512, test.dry.acc = 0.847352, test.acc = 0.821340
c = 7, sigma = 0.001, train.rain.acc = 0.772512, train.dry.acc = 0.840093,train.acc = 0.826816, test.rain.acc = 0.703297, test.dry.acc = 0.858974, test.acc = 0.823821
c = 8, sigma = 0.001, train.rain.acc = 0.772512, train.dry.acc = 0.840093,train.acc = 0.826816, test.rain.acc = 0.706522, test.dry.acc = 0.861736, test.acc = 0.826303
c = 9, sigma = 0.001, train.rain.acc = 0.767442, train.dry.acc = 0.841676,train.acc = 0.826816, test.rain.acc = 0.709677, test.dry.acc = 0.864516, test.acc = 0.828784
c = 10, sigma = 0.001, train.rain.acc = 0.764977, train.dry.acc = 0.842474,train.acc = 0.826816, test.rain.acc = 0.702128, test.dry.acc = 0.864078, test.acc = 0.826303
c = 11, sigma = 0.001, train.rain.acc = 0.761468, train.dry.acc = 0.842290,train.acc = 0.825885, test.rain.acc = 0.694737, test.dry.acc = 0.863636, test.acc = 0.823821
c = 12, sigma = 0.001, train.rain.acc = 0.766055, train.dry.acc = 0.843458,train.acc = 0.827747, test.rain.acc = 0.694737, test.dry.acc = 0.863636, test.acc = 0.823821
