c = 1, sigma = 0.1, train.rain.acc = 0.848485, train.dry.acc = 0.882647,train.acc = 0.875000, test.rain.acc = 0.847826, test.dry.acc = 0.887460, test.acc = 0.878412
c = 1, sigma = 0.001, train.rain.acc = 0.973333, train.dry.acc = 0.773250,train.acc = 0.787791, test.rain.acc = 0.866667, test.dry.acc = 0.766756, test.acc = 0.774194
c = 2, sigma = 0.001, train.rain.acc = 0.862595, train.dry.acc = 0.803552,train.acc = 0.811047, test.rain.acc = 0.851064, test.dry.acc = 0.794944, test.acc = 0.801489
c = 3, sigma = 0.001, train.rain.acc = 0.823129, train.dry.acc = 0.809040,train.acc = 0.811047, test.rain.acc = 0.870370, test.dry.acc = 0.810888, test.acc = 0.818859
c = 4, sigma = 0.001, train.rain.acc = 0.803681, train.dry.acc = 0.817031,train.acc = 0.814922, test.rain.acc = 0.879310, test.dry.acc = 0.820290, test.acc = 0.828784
c = 5, sigma = 0.001, train.rain.acc = 0.786982, train.dry.acc = 0.818076,train.acc = 0.812984, test.rain.acc = 0.885246, test.dry.acc = 0.827485, test.acc = 0.836228
c = 6, sigma = 0.001, train.rain.acc = 0.775281, train.dry.acc = 0.822014,train.acc = 0.813953, test.rain.acc = 0.863636, test.dry.acc = 0.833828, test.acc = 0.838710
c = 7, sigma = 0.001, train.rain.acc = 0.782609, train.dry.acc = 0.827830,train.acc = 0.819767, test.rain.acc = 0.852941, test.dry.acc = 0.835821, test.acc = 0.838710
c = 8, sigma = 0.001, train.rain.acc = 0.780749, train.dry.acc = 0.829586,train.acc = 0.820736, test.rain.acc = 0.842857, test.dry.acc = 0.837838, test.acc = 0.838710
c = 9, sigma = 0.001, train.rain.acc = 0.783069, train.dry.acc = 0.831554,train.acc = 0.822674, test.rain.acc = 0.842857, test.dry.acc = 0.837838, test.acc = 0.838710
c = 10, sigma = 0.001, train.rain.acc = 0.778947, train.dry.acc = 0.831354,train.acc = 0.821705, test.rain.acc = 0.842857, test.dry.acc = 0.837838, test.acc = 0.838710
c = 11, sigma = 0.001, train.rain.acc = 0.781250, train.dry.acc = 0.833333,train.acc = 0.823643, test.rain.acc = 0.842857, test.dry.acc = 0.837838, test.acc = 0.838710
c = 12, sigma = 0.001, train.rain.acc = 0.776042, train.dry.acc = 0.832143,train.acc = 0.821705, test.rain.acc = 0.845070, test.dry.acc = 0.840361, test.acc = 0.841191
c = 13, sigma = 0.001, train.rain.acc = 0.783505, train.dry.acc = 0.835322,train.acc = 0.825581, test.rain.acc = 0.845070, test.dry.acc = 0.840361, test.acc = 0.841191
c = 14, sigma = 0.001, train.rain.acc = 0.782828, train.dry.acc = 0.838129,train.acc = 0.827519, test.rain.acc = 0.835616, test.dry.acc = 0.842424, test.acc = 0.841191
c = 15, sigma = 0.001, train.rain.acc = 0.782828, train.dry.acc = 0.838129,train.acc = 0.827519, test.rain.acc = 0.824324, test.dry.acc = 0.841945, test.acc = 0.838710
c = 16, sigma = 0.001, train.rain.acc = 0.783920, train.dry.acc = 0.839136,train.acc = 0.828488, test.rain.acc = 0.824324, test.dry.acc = 0.841945, test.acc = 0.838710
c = 17, sigma = 0.001, train.rain.acc = 0.785000, train.dry.acc = 0.840144,train.acc = 0.829457, test.rain.acc = 0.824324, test.dry.acc = 0.841945, test.acc = 0.838710
c = 18, sigma = 0.001, train.rain.acc = 0.783920, train.dry.acc = 0.839136,train.acc = 0.828488, test.rain.acc = 0.835616, test.dry.acc = 0.842424, test.acc = 0.841191
c = 19, sigma = 0.001, train.rain.acc = 0.786802, train.dry.acc = 0.838323,train.acc = 0.828488, test.rain.acc = 0.847222, test.dry.acc = 0.842900, test.acc = 0.843672
c = 20, sigma = 0.001, train.rain.acc = 0.791878, train.dry.acc = 0.839521,train.acc = 0.830426, test.rain.acc = 0.845070, test.dry.acc = 0.840361, test.acc = 0.841191
c = 21, sigma = 0.001, train.rain.acc = 0.790816, train.dry.acc = 0.838517,train.acc = 0.829457, test.rain.acc = 0.845070, test.dry.acc = 0.840361, test.acc = 0.841191
c = 22, sigma = 0.001, train.rain.acc = 0.790816, train.dry.acc = 0.838517,train.acc = 0.829457, test.rain.acc = 0.842857, test.dry.acc = 0.837838, test.acc = 0.838710
c = 23, sigma = 0.001, train.rain.acc = 0.783920, train.dry.acc = 0.839136,train.acc = 0.828488, test.rain.acc = 0.845070, test.dry.acc = 0.840361, test.acc = 0.841191
c = 24, sigma = 0.001, train.rain.acc = 0.785000, train.dry.acc = 0.840144,train.acc = 0.829457, test.rain.acc = 0.842857, test.dry.acc = 0.837838, test.acc = 0.838710
c = 25, sigma = 0.001, train.rain.acc = 0.783920, train.dry.acc = 0.839136,train.acc = 0.828488, test.rain.acc = 0.842857, test.dry.acc = 0.837838, test.acc = 0.838710
c = 26, sigma = 0.001, train.rain.acc = 0.790816, train.dry.acc = 0.838517,train.acc = 0.829457, test.rain.acc = 0.842857, test.dry.acc = 0.837838, test.acc = 0.838710
c = 27, sigma = 0.001, train.rain.acc = 0.793814, train.dry.acc = 0.837709,train.acc = 0.829457, test.rain.acc = 0.842857, test.dry.acc = 0.837838, test.acc = 0.838710
c = 28, sigma = 0.001, train.rain.acc = 0.793814, train.dry.acc = 0.837709,train.acc = 0.829457, test.rain.acc = 0.842857, test.dry.acc = 0.837838, test.acc = 0.838710
c = 29, sigma = 0.001, train.rain.acc = 0.793814, train.dry.acc = 0.837709,train.acc = 0.829457, test.rain.acc = 0.842857, test.dry.acc = 0.837838, test.acc = 0.838710
