c = 1, sigma = 0.1, train.rain.acc = 0.846377, train.dry.acc = 0.849231,train.acc = 0.847291, test.rain.acc = 0.842697, test.dry.acc = 0.772358, test.acc = 0.820513
c = 1, sigma = 0.001, train.rain.acc = 0.671038, train.dry.acc = 0.810000,train.acc = 0.684729, test.rain.acc = 0.721408, test.dry.acc = 0.857143, test.acc = 0.738462
c = 2, sigma = 0.001, train.rain.acc = 0.722906, train.dry.acc = 0.773399,train.acc = 0.733005, test.rain.acc = 0.739550, test.dry.acc = 0.708861, test.acc = 0.733333
c = 3, sigma = 0.001, train.rain.acc = 0.742228, train.dry.acc = 0.753086,train.acc = 0.744828, test.rain.acc = 0.753333, test.dry.acc = 0.700000, test.acc = 0.741026
c = 4, sigma = 0.001, train.rain.acc = 0.754339, train.dry.acc = 0.744361,train.acc = 0.751724, test.rain.acc = 0.768166, test.dry.acc = 0.693069, test.acc = 0.748718
c = 5, sigma = 0.001, train.rain.acc = 0.754362, train.dry.acc = 0.737037,train.acc = 0.749754, test.rain.acc = 0.776224, test.dry.acc = 0.701923, test.acc = 0.756410
c = 6, sigma = 0.001, train.rain.acc = 0.761255, train.dry.acc = 0.734043,train.acc = 0.753695, test.rain.acc = 0.778169, test.dry.acc = 0.698113, test.acc = 0.756410
c = 7, sigma = 0.001, train.rain.acc = 0.761905, train.dry.acc = 0.739286,train.acc = 0.755665, test.rain.acc = 0.780919, test.dry.acc = 0.700935, test.acc = 0.758974
c = 8, sigma = 0.001, train.rain.acc = 0.765027, train.dry.acc = 0.742049,train.acc = 0.758621, test.rain.acc = 0.783688, test.dry.acc = 0.703704, test.acc = 0.761538
c = 9, sigma = 0.001, train.rain.acc = 0.767956, train.dry.acc = 0.735395,train.acc = 0.758621, test.rain.acc = 0.789286, test.dry.acc = 0.709091, test.acc = 0.766667
c = 10, sigma = 0.001, train.rain.acc = 0.769337, train.dry.acc = 0.738832,train.acc = 0.760591, test.rain.acc = 0.789286, test.dry.acc = 0.709091, test.acc = 0.766667
c = 11, sigma = 0.001, train.rain.acc = 0.768595, train.dry.acc = 0.740484,train.acc = 0.760591, test.rain.acc = 0.792857, test.dry.acc = 0.718182, test.acc = 0.771795
c = 12, sigma = 0.001, train.rain.acc = 0.769655, train.dry.acc = 0.741379,train.acc = 0.761576, test.rain.acc = 0.792857, test.dry.acc = 0.718182, test.acc = 0.771795
c = 13, sigma = 0.001, train.rain.acc = 0.772538, train.dry.acc = 0.741497,train.acc = 0.763547, test.rain.acc = 0.794964, test.dry.acc = 0.714286, test.acc = 0.771795
c = 14, sigma = 0.001, train.rain.acc = 0.774373, train.dry.acc = 0.740741,train.acc = 0.764532, test.rain.acc = 0.797101, test.dry.acc = 0.710526, test.acc = 0.771795
c = 15, sigma = 0.001, train.rain.acc = 0.774373, train.dry.acc = 0.740741,train.acc = 0.764532, test.rain.acc = 0.797101, test.dry.acc = 0.710526, test.acc = 0.771795
c = 16, sigma = 0.001, train.rain.acc = 0.775453, train.dry.acc = 0.741611,train.acc = 0.765517, test.rain.acc = 0.797101, test.dry.acc = 0.710526, test.acc = 0.771795
c = 17, sigma = 0.001, train.rain.acc = 0.774059, train.dry.acc = 0.738255,train.acc = 0.763547, test.rain.acc = 0.795620, test.dry.acc = 0.698276, test.acc = 0.766667
c = 18, sigma = 0.001, train.rain.acc = 0.774059, train.dry.acc = 0.738255,train.acc = 0.763547, test.rain.acc = 0.795620, test.dry.acc = 0.698276, test.acc = 0.766667
c = 19, sigma = 0.001, train.rain.acc = 0.775140, train.dry.acc = 0.739130,train.acc = 0.764532, test.rain.acc = 0.794872, test.dry.acc = 0.692308, test.acc = 0.764103
c = 20, sigma = 0.001, train.rain.acc = 0.774825, train.dry.acc = 0.736667,train.acc = 0.763547, test.rain.acc = 0.795620, test.dry.acc = 0.698276, test.acc = 0.766667
c = 21, sigma = 0.001, train.rain.acc = 0.777778, train.dry.acc = 0.736842,train.acc = 0.765517, test.rain.acc = 0.794872, test.dry.acc = 0.692308, test.acc = 0.764103
c = 22, sigma = 0.001, train.rain.acc = 0.779661, train.dry.acc = 0.736156,train.acc = 0.766502, test.rain.acc = 0.793358, test.dry.acc = 0.680672, test.acc = 0.758974
c = 23, sigma = 0.001, train.rain.acc = 0.779972, train.dry.acc = 0.738562,train.acc = 0.767488, test.rain.acc = 0.793358, test.dry.acc = 0.680672, test.acc = 0.758974
c = 24, sigma = 0.001, train.rain.acc = 0.780282, train.dry.acc = 0.740984,train.acc = 0.768473, test.rain.acc = 0.795539, test.dry.acc = 0.677686, test.acc = 0.758974
c = 25, sigma = 0.001, train.rain.acc = 0.779972, train.dry.acc = 0.738562,train.acc = 0.767488, test.rain.acc = 0.795539, test.dry.acc = 0.677686, test.acc = 0.758974
c = 26, sigma = 0.001, train.rain.acc = 0.779349, train.dry.acc = 0.733766,train.acc = 0.765517, test.rain.acc = 0.795539, test.dry.acc = 0.677686, test.acc = 0.758974
c = 27, sigma = 0.001, train.rain.acc = 0.781250, train.dry.acc = 0.733119,train.acc = 0.766502, test.rain.acc = 0.795539, test.dry.acc = 0.677686, test.acc = 0.758974
c = 28, sigma = 0.001, train.rain.acc = 0.781250, train.dry.acc = 0.733119,train.acc = 0.766502, test.rain.acc = 0.795539, test.dry.acc = 0.677686, test.acc = 0.758974
c = 29, sigma = 0.001, train.rain.acc = 0.781250, train.dry.acc = 0.733119,train.acc = 0.766502, test.rain.acc = 0.795539, test.dry.acc = 0.677686, test.acc = 0.758974
c = 30, sigma = 0.001, train.rain.acc = 0.780939, train.dry.acc = 0.730769,train.acc = 0.765517, test.rain.acc = 0.795539, test.dry.acc = 0.677686, test.acc = 0.758974
c = 31, sigma = 0.001, train.rain.acc = 0.779830, train.dry.acc = 0.729904,train.acc = 0.764532, test.rain.acc = 0.795539, test.dry.acc = 0.677686, test.acc = 0.758974
c = 32, sigma = 0.001, train.rain.acc = 0.781250, train.dry.acc = 0.733119,train.acc = 0.766502, test.rain.acc = 0.796296, test.dry.acc = 0.683333, test.acc = 0.761538
c = 33, sigma = 0.001, train.rain.acc = 0.781250, train.dry.acc = 0.733119,train.acc = 0.766502, test.rain.acc = 0.796296, test.dry.acc = 0.683333, test.acc = 0.761538
c = 34, sigma = 0.001, train.rain.acc = 0.781250, train.dry.acc = 0.733119,train.acc = 0.766502, test.rain.acc = 0.796296, test.dry.acc = 0.683333, test.acc = 0.761538
c = 35, sigma = 0.001, train.rain.acc = 0.782361, train.dry.acc = 0.733974,train.acc = 0.767488, test.rain.acc = 0.796296, test.dry.acc = 0.683333, test.acc = 0.761538
c = 36, sigma = 0.001, train.rain.acc = 0.783476, train.dry.acc = 0.734824,train.acc = 0.768473, test.rain.acc = 0.796296, test.dry.acc = 0.683333, test.acc = 0.761538
c = 37, sigma = 0.001, train.rain.acc = 0.785714, train.dry.acc = 0.736508,train.acc = 0.770443, test.rain.acc = 0.796296, test.dry.acc = 0.683333, test.acc = 0.761538
c = 38, sigma = 0.001, train.rain.acc = 0.786020, train.dry.acc = 0.738854,train.acc = 0.771429, test.rain.acc = 0.796296, test.dry.acc = 0.683333, test.acc = 0.761538
c = 39, sigma = 0.001, train.rain.acc = 0.786020, train.dry.acc = 0.738854,train.acc = 0.771429, test.rain.acc = 0.796296, test.dry.acc = 0.683333, test.acc = 0.761538
c = 40, sigma = 0.001, train.rain.acc = 0.787143, train.dry.acc = 0.739683,train.acc = 0.772414, test.rain.acc = 0.800000, test.dry.acc = 0.691667, test.acc = 0.766667
c = 41, sigma = 0.001, train.rain.acc = 0.787143, train.dry.acc = 0.739683,train.acc = 0.772414, test.rain.acc = 0.799257, test.dry.acc = 0.685950, test.acc = 0.764103
c = 42, sigma = 0.001, train.rain.acc = 0.786838, train.dry.acc = 0.737342,train.acc = 0.771429, test.rain.acc = 0.799257, test.dry.acc = 0.685950, test.acc = 0.764103
c = 43, sigma = 0.001, train.rain.acc = 0.789625, train.dry.acc = 0.735202,train.acc = 0.772414, test.rain.acc = 0.798507, test.dry.acc = 0.680328, test.acc = 0.761538
c = 44, sigma = 0.001, train.rain.acc = 0.789322, train.dry.acc = 0.732919,train.acc = 0.771429, test.rain.acc = 0.798507, test.dry.acc = 0.680328, test.acc = 0.761538
c = 45, sigma = 0.001, train.rain.acc = 0.790159, train.dry.acc = 0.731481,train.acc = 0.771429, test.rain.acc = 0.798507, test.dry.acc = 0.680328, test.acc = 0.761538
c = 46, sigma = 0.001, train.rain.acc = 0.790462, train.dry.acc = 0.733746,train.acc = 0.772414, test.rain.acc = 0.798507, test.dry.acc = 0.680328, test.acc = 0.761538
c = 47, sigma = 0.001, train.rain.acc = 0.790765, train.dry.acc = 0.736025,train.acc = 0.773399, test.rain.acc = 0.798507, test.dry.acc = 0.680328, test.acc = 0.761538
c = 48, sigma = 0.001, train.rain.acc = 0.790765, train.dry.acc = 0.736025,train.acc = 0.773399, test.rain.acc = 0.798507, test.dry.acc = 0.680328, test.acc = 0.761538
c = 49, sigma = 0.001, train.rain.acc = 0.790462, train.dry.acc = 0.733746,train.acc = 0.772414, test.rain.acc = 0.799257, test.dry.acc = 0.685950, test.acc = 0.764103
c = 50, sigma = 0.001, train.rain.acc = 0.790462, train.dry.acc = 0.733746,train.acc = 0.772414, test.rain.acc = 0.799257, test.dry.acc = 0.685950, test.acc = 0.764103
c = 51, sigma = 0.001, train.rain.acc = 0.791606, train.dry.acc = 0.734568,train.acc = 0.773399, test.rain.acc = 0.799257, test.dry.acc = 0.685950, test.acc = 0.764103
c = 52, sigma = 0.001, train.rain.acc = 0.791304, train.dry.acc = 0.732308,train.acc = 0.772414, test.rain.acc = 0.799257, test.dry.acc = 0.685950, test.acc = 0.764103
c = 53, sigma = 0.001, train.rain.acc = 0.792754, train.dry.acc = 0.735385,train.acc = 0.774384, test.rain.acc = 0.799257, test.dry.acc = 0.685950, test.acc = 0.764103
c = 54, sigma = 0.001, train.rain.acc = 0.793904, train.dry.acc = 0.736196,train.acc = 0.775369, test.rain.acc = 0.796296, test.dry.acc = 0.683333, test.acc = 0.761538
c = 55, sigma = 0.001, train.rain.acc = 0.793904, train.dry.acc = 0.736196,train.acc = 0.775369, test.rain.acc = 0.796296, test.dry.acc = 0.683333, test.acc = 0.761538
c = 56, sigma = 0.001, train.rain.acc = 0.793054, train.dry.acc = 0.737654,train.acc = 0.775369, test.rain.acc = 0.796296, test.dry.acc = 0.683333, test.acc = 0.761538
c = 57, sigma = 0.001, train.rain.acc = 0.793054, train.dry.acc = 0.737654,train.acc = 0.775369, test.rain.acc = 0.796296, test.dry.acc = 0.683333, test.acc = 0.761538
