c = 1, sigma = 0.1, train.rain.acc = 0.807466, train.dry.acc = 0.839757,train.acc = 0.823353, test.rain.acc = 0.831395, test.dry.acc = 0.793578, test.acc = 0.810256
c = 1, sigma = 0.001, train.rain.acc = 0.737828, train.dry.acc = 0.794872,train.acc = 0.764471, test.rain.acc = 0.752747, test.dry.acc = 0.754808, test.acc = 0.753846
c = 2, sigma = 0.001, train.rain.acc = 0.746717, train.dry.acc = 0.803838,train.acc = 0.773453, test.rain.acc = 0.775281, test.dry.acc = 0.764151, test.acc = 0.769231
c = 3, sigma = 0.001, train.rain.acc = 0.749064, train.dry.acc = 0.807692,train.acc = 0.776447, test.rain.acc = 0.779661, test.dry.acc = 0.765258, test.acc = 0.771795
c = 4, sigma = 0.001, train.rain.acc = 0.751412, train.dry.acc = 0.806794,train.acc = 0.777445, test.rain.acc = 0.783626, test.dry.acc = 0.753425, test.acc = 0.766667
c = 5, sigma = 0.001, train.rain.acc = 0.755682, train.dry.acc = 0.808017,train.acc = 0.780439, test.rain.acc = 0.784884, test.dry.acc = 0.756881, test.acc = 0.769231
c = 6, sigma = 0.001, train.rain.acc = 0.760456, train.dry.acc = 0.810924,train.acc = 0.784431, test.rain.acc = 0.786982, test.dry.acc = 0.751131, test.acc = 0.766667
c = 7, sigma = 0.001, train.rain.acc = 0.760911, train.dry.acc = 0.812632,train.acc = 0.785429, test.rain.acc = 0.788235, test.dry.acc = 0.754545, test.acc = 0.769231
c = 8, sigma = 0.001, train.rain.acc = 0.763359, train.dry.acc = 0.811715,train.acc = 0.786427, test.rain.acc = 0.783626, test.dry.acc = 0.753425, test.acc = 0.766667
c = 9, sigma = 0.001, train.rain.acc = 0.766730, train.dry.acc = 0.814196,train.acc = 0.789421, test.rain.acc = 0.783626, test.dry.acc = 0.753425, test.acc = 0.766667
c = 10, sigma = 0.001, train.rain.acc = 0.764368, train.dry.acc = 0.810417,train.acc = 0.786427, test.rain.acc = 0.782353, test.dry.acc = 0.750000, test.acc = 0.764103
c = 11, sigma = 0.001, train.rain.acc = 0.764706, train.dry.acc = 0.816842,train.acc = 0.789421, test.rain.acc = 0.782353, test.dry.acc = 0.750000, test.acc = 0.764103
c = 12, sigma = 0.001, train.rain.acc = 0.762808, train.dry.acc = 0.814737,train.acc = 0.787425, test.rain.acc = 0.779070, test.dry.acc = 0.752294, test.acc = 0.764103
c = 13, sigma = 0.001, train.rain.acc = 0.761364, train.dry.acc = 0.814346,train.acc = 0.786427, test.rain.acc = 0.782353, test.dry.acc = 0.750000, test.acc = 0.764103
c = 14, sigma = 0.001, train.rain.acc = 0.761364, train.dry.acc = 0.814346,train.acc = 0.786427, test.rain.acc = 0.779070, test.dry.acc = 0.752294, test.acc = 0.764103
